p_vals,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1.0e-6,0.0,0.0,0.0,0.0,0.6020599913279624,0.8450980400142568,1.0,1.1139433523068367,1.2787536009528289,1.380211241711606,1.4771212547196624,1.5440680443502757,1.662757831681574,1.6901960800285136,1.7160033436347992,1.7634279935629373,1.7853298350107671,1.806179973983887,1.8195439355418688,1.8260748027008264,1.8388490907372552,1.9030899869919435,1.954242509439325,2.0170333392987803,2.0453229787866576,2.0644579892269186,2.0969100130080562,2.130333768495006,2.161368002234975,2.1931245983544616,2.225309281725863,2.2528530309798933,2.307496037913213,2.419955748489758,2.4313637641589874,2.4424797690644486,2.4533183400470375,2.482873583608754,2.53655844257153,2.597695185925512,2.658964842664435,2.690196080028514,2.722633922533812,2.751279103983342,2.7737864449811935,2.887617300335736,2.9169800473203824,2.950364854376123,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.2589254117941661e-6,0.0,0.0,0.0,0.0,0.6020599913279624,0.8450980400142568,1.0,1.1139433523068367,1.2787536009528289,1.380211241711606,1.4771212547196624,1.5185139398778875,1.5440680443502757,1.662757831681574,1.6901960800285136,1.7075701760979363,1.7160033436347992,1.7634279935629373,1.806179973983887,1.8195439355418688,1.8260748027008264,1.8388490907372552,1.8692317197309762,1.9030899869919435,1.954242509439325,2.0170333392987803,2.0453229787866576,2.0644579892269186,2.0969100130080562,2.130333768495006,2.1931245983544616,2.214843848047698,2.225309281725863,2.2528530309798933,2.307496037913213,2.369215857410143,2.419955748489758,2.4424797690644486,2.4533183400470375,2.4742162640762553,2.482873583608754,2.53655844257153,2.597695185925512,2.658964842664435,2.690196080028514,2.722633922533812,2.751279103983342,2.7737864449811935,2.8344207036815328,2.887617300335736,2.9169800473203824,2.950364854376123,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.584893192461114e-6,0.0,0.0,0.0,0.0,0.6020599913279624,0.8450980400142568,1.1139433523068367,1.2041199826559248,1.255272505103306,1.2787536009528289,1.3424226808222062,1.380211241711606,1.4771212547196624,1.5440680443502757,1.6127838567197355,1.662757831681574,1.6901960800285136,1.7075701760979363,1.7160033436347992,1.7403626894942439,1.7634279935629373,1.806179973983887,1.8195439355418688,1.8260748027008264,1.8388490907372552,1.8692317197309762,1.9030899869919435,1.954242509439325,2.0170333392987803,2.0453229787866576,2.0644579892269186,2.130333768495006,2.1931245983544616,2.225309281725863,2.2528530309798933,2.307496037913213,2.369215857410143,2.401400540781544,2.419955748489758,2.4424797690644486,2.4533183400470375,2.4742162640762553,2.482873583608754,2.53655844257153,2.597695185925512,2.658964842664435,2.722633922533812,2.751279103983342,2.762678563727436,2.7737864449811935,2.8344207036815328,2.887617300335736,2.9169800473203824,2.950364854376123,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.9952623149688787e-6,0.0,0.0,0.0,0.0,0.6020599913279624,0.8450980400142568,1.0,1.1139433523068367,1.2041199826559248,1.255272505103306,1.2787536009528289,1.3424226808222062,1.380211241711606,1.4313637641589874,1.4771212547196624,1.5185139398778875,1.5440680443502757,1.662757831681574,1.6901960800285136,1.7075701760979363,1.7160033436347992,1.7323937598229686,1.7403626894942439,1.7634279935629373,1.7853298350107671,1.806179973983887,1.8129133566428555,1.8195439355418688,1.8260748027008264,1.8388490907372552,1.8692317197309762,1.9030899869919435,1.954242509439325,2.0170333392987803,2.0253058652647704,2.03342375548695,2.0453229787866576,2.0644579892269186,2.130333768495006,2.161368002234975,2.1931245983544616,2.225309281725863,2.24551266781415,2.2528530309798933,2.307496037913213,2.419955748489758,2.4424797690644486,2.4533183400470375,2.482873583608754,2.53655844257153,2.5658478186735176,2.597695185925512,2.658964842664435,2.722633922533812,2.741939077729199,2.751279103983342,2.762678563727436,2.7737864449811935,2.8055008581584002,2.8344207036815328,2.887617300335736,2.9169800473203824,2.950364854376123,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.5118864315095823e-6,0.0,0.0,0.0,0.0,0.47712125471966244,0.6020599913279624,0.7781512503836436,0.8450980400142568,1.0,1.1139433523068367,1.2041199826559248,1.2787536009528289,1.3222192947339193,1.3424226808222062,1.380211241711606,1.4313637641589874,1.4771212547196624,1.5185139398778875,1.5440680443502757,1.5797835966168101,1.6127838567197355,1.662757831681574,1.6901960800285136,1.7160033436347992,1.7323937598229686,1.7403626894942439,1.7634279935629373,1.806179973983887,1.8195439355418688,1.8260748027008264,1.8388490907372552,1.8692317197309762,1.9030899869919435,1.9344984512435677,1.954242509439325,2.0170333392987803,2.03342375548695,2.0453229787866576,2.0644579892269186,2.130333768495006,2.161368002234975,2.1931245983544616,2.225309281725863,2.24551266781415,2.2528530309798933,2.307496037913213,2.419955748489758,2.4424797690644486,2.4533183400470375,2.482873583608754,2.53655844257153,2.5658478186735176,2.597695185925512,2.658964842664435,2.722633922533812,2.751279103983342,2.7737864449811935,2.8055008581584002,2.8344207036815328,2.887617300335736,2.9169800473203824,2.950364854376123,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.162277660168379e-6,0.0,0.0,0.0,0.0,0.47712125471966244,0.6020599913279624,0.8450980400142568,1.0,1.1139433523068367,1.2041199826559248,1.2787536009528289,1.3424226808222062,1.380211241711606,1.4313637641589874,1.462397997898956,1.4771212547196624,1.5185139398778875,1.5440680443502757,1.5797835966168101,1.6127838567197355,1.662757831681574,1.7160033436347992,1.7403626894942439,1.7634279935629373,1.7853298350107671,1.806179973983887,1.8195439355418688,1.8260748027008264,1.8388490907372552,1.9030899869919435,1.9344984512435677,1.954242509439325,1.9822712330395684,2.0170333392987803,2.0253058652647704,2.03342375548695,2.0453229787866576,2.0644579892269186,2.0969100130080562,2.130333768495006,2.161368002234975,2.1931245983544616,2.225309281725863,2.24551266781415,2.2528530309798933,2.307496037913213,2.419955748489758,2.4424797690644486,2.4533183400470375,2.4742162640762553,2.482873583608754,2.53655844257153,2.5658478186735176,2.597695185925512,2.658964842664435,2.722633922533812,2.741939077729199,2.751279103983342,2.762678563727436,2.7737864449811935,2.8344207036815328,2.887617300335736,2.9169800473203824,2.950364854376123,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3.981071705534969e-6,0.0,0.0,0.0,0.0,0.47712125471966244,0.6020599913279624,0.8450980400142568,1.1139433523068367,1.2787536009528289,1.380211241711606,1.4771212547196624,1.5440680443502757,1.6127838567197355,1.662757831681574,1.7160033436347992,1.7634279935629373,1.806179973983887,1.8388490907372552,1.9030899869919435,1.954242509439325,2.0170333392987803,2.0453229787866576,2.0644579892269186,2.130333768495006,2.1931245983544616,2.225309281725863,2.2528530309798933,2.307496037913213,2.419955748489758,2.4424797690644486,2.4533183400470375,2.4742162640762553,2.482873583608754,2.53655844257153,2.597695185925512,2.658964842664435,2.722633922533812,2.751279103983342,2.7737864449811935,2.8055008581584002,2.8344207036815328,2.8674674878590514,2.887617300335736,2.9169800473203824,2.950364854376123,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5.011872336272725e-6,0.0,0.0,0.0,0.0,0.47712125471966244,0.6020599913279624,0.8450980400142568,1.0,1.1139433523068367,1.2787536009528289,1.380211241711606,1.4771212547196624,1.5440680443502757,1.5797835966168101,1.6127838567197355,1.662757831681574,1.7160033436347992,1.7323937598229686,1.7403626894942439,1.7558748556724915,1.7634279935629373,1.806179973983887,1.8195439355418688,1.8260748027008264,1.8388490907372552,1.9030899869919435,1.954242509439325,2.0170333392987803,2.0644579892269186,2.130333768495006,2.1931245983544616,2.225309281725863,2.2528530309798933,2.307496037913213,2.3364597338485296,2.369215857410143,2.419955748489758,2.4424797690644486,2.4533183400470375,2.4742162640762553,2.482873583608754,2.53655844257153,2.5658478186735176,2.597695185925512,2.658964842664435,2.722633922533812,2.741939077729199,2.751279103983342,2.762678563727436,2.7737864449811935,2.8055008581584002,2.8344207036815328,2.887617300335736,2.9169800473203824,2.950364854376123,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6.30957344480193e-6,0.0,0.0,0.0,0.0,0.6020599913279624,0.8450980400142568,1.1139433523068367,1.380211241711606,1.4771212547196624,1.5440680443502757,1.6127838567197355,1.662757831681574,1.7160033436347992,1.7403626894942439,1.7634279935629373,1.806179973983887,1.8388490907372552,1.9030899869919435,1.954242509439325,2.0170333392987803,2.0644579892269186,2.1931245983544616,2.225309281725863,2.2528530309798933,2.307496037913213,2.419955748489758,2.482873583608754,2.53655844257153,2.597695185925512,2.658964842664435,2.722633922533812,2.7737864449811935,2.8344207036815328,2.887617300335736,2.950364854376123,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7.943282347242822e-6,0.0,0.0,0.0,0.0,0.6020599913279624,0.8450980400142568,1.0,1.1139433523068367,1.380211241711606,1.4771212547196624,1.5440680443502757,1.662757831681574,1.7160033436347992,1.7403626894942439,1.7634279935629373,1.8388490907372552,1.9030899869919435,1.954242509439325,2.0170333392987803,2.0644579892269186,2.1931245983544616,2.2528530309798933,2.307496037913213,2.419955748489758,2.53655844257153,2.597695185925512,2.658964842664435,2.722633922533812,2.7737864449811935,2.8344207036815328,2.887617300335736,2.950364854376123,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9.999999999999999e-6,0.0,0.0,0.0,0.0,0.6020599913279624,0.8450980400142568,1.0,1.1139433523068367,1.2787536009528289,1.380211241711606,1.4771212547196624,1.5440680443502757,1.5797835966168101,1.6127838567197355,1.6434526764861874,1.662757831681574,1.7160033436347992,1.7634279935629373,1.8388490907372552,1.954242509439325,2.0170333392987803,2.0644579892269186,2.130333768495006,2.1931245983544616,2.225309281725863,2.2528530309798933,2.307496037913213,2.419955748489758,2.53655844257153,2.658964842664435,2.722633922533812,2.7737864449811935,2.887617300335736,2.9169800473203824,2.950364854376123,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.2589254117941663e-5,0.0,0.0,0.0,0.0,0.6020599913279624,0.8450980400142568,0.9542425094393249,1.0,1.1139433523068367,1.2787536009528289,1.3424226808222062,1.380211241711606,1.4313637641589874,1.4771212547196624,1.5440680443502757,1.568201724066995,1.5797835966168101,1.6127838567197355,1.6334684555795864,1.6434526764861874,1.662757831681574,1.7160033436347992,1.7403626894942439,1.7634279935629373,1.806179973983887,1.8388490907372552,1.9030899869919435,1.9344984512435677,1.954242509439325,2.0170333392987803,2.0453229787866576,2.0644579892269186,2.130333768495006,2.161368002234975,2.1818435879447726,2.1931245983544616,2.2528530309798933,2.307496037913213,2.369215857410143,2.419955748489758,2.53655844257153,2.597695185925512,2.629409599102719,2.658964842664435,2.690196080028514,2.722633922533812,2.7737864449811935,2.8344207036815328,2.887617300335736,2.9169800473203824,2.950364854376123,2.9703468762300935,2.9804578922761,2.9903388547876015,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.584893192461114e-5,0.0,0.0,0.0,0.0,0.6020599913279624,0.8450980400142568,0.9542425094393249,1.0,1.1139433523068367,1.2041199826559248,1.2787536009528289,1.380211241711606,1.4771212547196624,1.5185139398778875,1.5440680443502757,1.568201724066995,1.5797835966168101,1.6127838567197355,1.662757831681574,1.6901960800285136,1.7075701760979363,1.7160033436347992,1.7323937598229686,1.7403626894942439,1.7634279935629373,1.8388490907372552,1.9030899869919435,1.919078092376074,1.9344984512435677,1.9444826721501687,1.954242509439325,1.9822712330395684,2.0170333392987803,2.0453229787866576,2.0644579892269186,2.0969100130080562,2.130333768495006,2.1522883443830563,2.161368002234975,2.1818435879447726,2.1931245983544616,2.2528530309798933,2.307496037913213,2.369215857410143,2.419955748489758,2.53655844257153,2.5658478186735176,2.597695185925512,2.629409599102719,2.658964842664435,2.722633922533812,2.751279103983342,2.7737864449811935,2.8344207036815328,2.887617300335736,2.907411360774586,2.9169800473203824,2.950364854376123,2.9804578922761,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.9952623149688786e-5,0.0,0.0,0.0,0.0,0.47712125471966244,0.6020599913279624,0.7781512503836436,0.8450980400142568,0.9542425094393249,1.0,1.0791812460476249,1.1139433523068367,1.2787536009528289,1.380211241711606,1.4313637641589874,1.4771212547196624,1.5440680443502757,1.5797835966168101,1.6127838567197355,1.662757831681574,1.6901960800285136,1.6989700043360187,1.7075701760979363,1.7160033436347992,1.7403626894942439,1.7558748556724915,1.7634279935629373,1.8388490907372552,1.9030899869919435,1.919078092376074,1.9344984512435677,1.954242509439325,2.0170333392987803,2.03342375548695,2.0453229787866576,2.0644579892269186,2.0863598306747484,2.0969100130080562,2.12057393120585,2.130333768495006,2.161368002234975,2.1931245983544616,2.2528530309798933,2.307496037913213,2.3364597338485296,2.369215857410143,2.419955748489758,2.482873583608754,2.53655844257153,2.5658478186735176,2.597695185925512,2.629409599102719,2.658964842664435,2.722633922533812,2.751279103983342,2.7737864449811935,2.8055008581584002,2.8344207036815328,2.887617300335736,2.907411360774586,2.9169800473203824,2.9395192526186187,2.950364854376123,2.9804578922761,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2.5118864315095822e-5,0.0,0.0,0.0,0.0,0.6020599913279624,0.8450980400142568,1.0,1.1139433523068367,1.380211241711606,1.4771212547196624,1.5440680443502757,1.5797835966168101,1.6127838567197355,1.662757831681574,1.6901960800285136,1.7075701760979363,1.7160033436347992,1.7403626894942439,1.7634279935629373,1.8388490907372552,1.9030899869919435,1.919078092376074,1.9344984512435677,1.954242509439325,2.0170333392987803,2.03342375548695,2.0453229787866576,2.0644579892269186,2.0969100130080562,2.130333768495006,2.161368002234975,2.1931245983544616,2.307496037913213,2.3364597338485296,2.369215857410143,2.419955748489758,2.53655844257153,2.597695185925512,2.658964842664435,2.722633922533812,2.7737864449811935,2.8344207036815328,2.887617300335736,2.9169800473203824,2.950364854376123,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
